dataset,name,chip_name,ec50_t,ec50_c,ec50_95ci_t,ec50_95ci_c,chip_dataset
Longxing,HEEH_22443,ladder_45,2.9262466579483863,2.5735274819248386,9.6,9.6,TwoSix_100K
Longxing,HEEH_16161,ladder_46,2.9262466579483863,2.5735274819248386,9.6,9.6,TwoSix_100K
Longxing,HEEH_09879,ladder_47,1.7776533151440663,2.5735274819248386,4.1,9.6,TwoSix_100K
Longxing,HEEH_19496,ladder_48,1.4012735990111205,0.4524983953770416,1.4,1.9000000000000004,TwoSix_100K
Longxing,EEHEE_03647,ladder_49,0.6291494669032682,0.39365805192458136,2.6,2.7,TwoSix_100K
Longxing,HEEH_15725,ladder_50,2.9262466579483863,2.5735274819248386,9.6,9.6,TwoSix_100K
Longxing,HEEH_21192,ladder_51,2.9262466579483863,2.5735274819248386,9.6,9.6,TwoSix_100K
Longxing,EEHEE_05028,ladder_52,2.9262466579483863,1.8319933170495983,6.3000000000000025,4.4,TwoSix_100K
Longxing,EHEE_09709,ladder_53,-0.13401528086933945,0.7328548219791355,2.2,0.8000000000000003,TwoSix_100K
Longxing,HEEH_14370,ladder_54,2.3499328401284973,0.621992043025684,1.1999999999999995,1.0999999999999996,TwoSix_100K
Longxing,HEEH_22629,ladder_55,2.9262466579483863,2.5735274819248386,9.6,9.6,TwoSix_100K
Longxing,HEEH_19081,ladder_56,4.1773909225887484,3.365744560333728,0.9000000000000004,0.0,TwoSix_100K
Longxing,EHEE_06354,ladder_57,4.305518083694891,3.0137350905784284,0.10000000000000052,0.20000000000000007,TwoSix_100K
Longxing,HEEH_13065,ladder_58,1.3567331856593263,2.676420961331589,0.3999999999999999,0.20000000000000007,TwoSix_100K
Longxing,EHEE_01056,ladder_59,3.3671636783272354,3.3203848711827604,0.2999999999999998,0.10000000000000052,TwoSix_100K
Longxing,EHEE_11559,ladder_60,0.7423377878495603,0.971366871495318,1.0999999999999996,0.9000000000000004,TwoSix_100K
Longxing,HEEH_11260,ladder_61,2.9262466579483863,2.5735274819248386,9.6,9.6,TwoSix_100K
Longxing,HEEH_01304,ladder_62,1.4153234399811059,2.300218884002496,1.2999999999999998,0.20000000000000007,TwoSix_100K
Longxing,HEEH_10102,ladder_63,0.3239056969742906,0.2416574633668289,2.5,2.4000000000000004,TwoSix_100K
Longxing,HEEH_04703,ladder_64,1.7776533151440663,2.5735274819248386,4.199999999999998,9.6,TwoSix_100K
Longxing,HEEH_19559,ladder_65,-0.13401528086933945,0.3222975759006772,2.1,2.5,TwoSix_100K
Longxing,HEEH_24042,ladder_66,1.7008159018718558,1.5212604674801753,0.8999999999999995,1.1,TwoSix_100K
Longxing,HEEH_09067,ladder_67,2.9262466579483863,2.5735274819248386,9.6,9.6,TwoSix_100K
Longxing,HEEH_14816,ladder_68,1.8268201855520223,2.5735274819248386,4.700000000000001,9.6,TwoSix_100K
Longxing,HEEH_17666,ladder_69,-0.06844166647992511,-0.043641068429632224,2.3000000000000003,2.3000000000000003,TwoSix_100K
Longxing,HEEH_19024,ladder_70,-0.16749852676234567,0.2405853175037493,2.2,2.4000000000000004,TwoSix_100K
Longxing,EEHEE_32432,ladder_71,0.3915409386173097,0.3896568522410426,0.3999999999999999,0.3999999999999999,TwoSix_100K
Inna,MSirpa_0193,ladder_72,0.9384681396750608,2.7154469104880183,0.6000000000000001,1.0,TwoSix_100K
Inna,p1-16H-GABBL-15H-GBL-16H_0827_0001_0001,ladder_73,1.3912299078533361,2.4333455579254424,0.3999999999999999,0.09999999999999963,TwoSix_100K
Inna,HSirpa_0888,ladder_74,3.6419373360363503,2.5735274819248386,5.9,9.6,TwoSix_100K
Inna,HSirpa_1751,ladder_75,2.142058035650857,0.7375699841190766,0.5999999999999996,1.7000000000000002,TwoSix_100K
